= Targets sorted by number of PDB structures with matching expression system tag =

            target  nmatching_PDB_structures  top_PDB_chain_ID  detected_expression_tag  authenticity_score               expression_system  target_rank  target_score
     PAK7_HUMAN_D0                         1            2F57_B      TEV_uncleaved_Nterm                   9      ESCHERICHIA COLI BL21(DE3)          247          30.9
    PHKG2_HUMAN_D0                         1            2Y7J_D      TEV_uncleaved_Nterm                   9                ESCHERICHIA COLI          136          35.9
    PMYT1_HUMAN_D0                         1            3P1A_A      TEV_uncleaved_Nterm                   9                ESCHERICHIA COLI          303          29.8
    STK16_HUMAN_D0                         1            2BUJ_B      TEV_uncleaved_Nterm                   9                ESCHERICHIA COLI          299          29.9
    STRAA_HUMAN_D0                         1            3GNI_B      TEV_uncleaved_Nterm                   9                ESCHERICHIA COLI          402          11.5
     VRK2_HUMAN_D0                         1            2V62_B      TEV_uncleaved_Nterm                   9                ESCHERICHIA COLI          354          27.4
     VRK3_HUMAN_D0                         1            2JII_A      TEV_uncleaved_Nterm                   9                ESCHERICHIA COLI          444           6.3
    EPHA3_HUMAN_D0                        21            4GK2_A             Histag_Nterm                   7                ESCHERICHIA COLI           93          39.0
    FGFR1_HUMAN_D0                        10            3GQL_B             Histag_Nterm                   7                ESCHERICHIA COLI           11          62.4
     CSKP_HUMAN_D0                         8            3TAC_A             Histag_Nterm                   7                ESCHERICHIA COLI          108          37.3
      ITK_HUMAN_D0                         5            3QGW_B             Histag_Nterm                   7                ESCHERICHIA COLI           53          45.7
    KS6A3_HUMAN_D0                         5            4JG7_A             Histag_Nterm                   7                ESCHERICHIA COLI           50          45.8
    KS6A3_HUMAN_D1                         5            4JG7_A             Histag_Nterm                   7                ESCHERICHIA COLI           51          45.8
      MET_HUMAN_D0                         5            4EEV_A             Histag_Nterm                   7                ESCHERICHIA COLI            6          68.4
     MK13_HUMAN_D0                         4            4EYJ_A             Histag_Nterm                   7                ESCHERICHIA COLI          241          31.0
    MP2K4_HUMAN_D0                         3            3ALN_C             Histag_Nterm                   7                ESCHERICHIA COLI          178          33.0
     PLK2_HUMAN_D0                         2            4I6B_A             Histag_Nterm                   7                ESCHERICHIA COLI          189          32.5
    KS6A1_HUMAN_D0                         1            3RNY_B             Histag_Nterm                   7                ESCHERICHIA COLI          130          36.2
    KS6A1_HUMAN_D1                         1            3RNY_B             Histag_Nterm                   7                ESCHERICHIA COLI          131          36.2
     MK08_HUMAN_D0                        25            2NO3_A             Histag_Cterm                   6                ESCHERICHIA COLI           35          50.7
     NEK2_HUMAN_D0                        20            2XKE_A             Histag_Cterm                   6                ESCHERICHIA COLI          157          34.1
    MP2K1_HUMAN_D0                        16            3MBL_A             Histag_Cterm                   6                ESCHERICHIA COLI           41          48.4
     PAK1_HUMAN_D0                        11            3Q52_A             Histag_Cterm                   6                ESCHERICHIA COLI          154          34.4
    E2AK2_HUMAN_D0                         3            3UIU_A             Histag_Cterm                   6                ESCHERICHIA COLI          128          36.2
     CDK6_HUMAN_D0                         2            4EZ5_A             Histag_Cterm                   6                ESCHERICHIA COLI          314          29.1
    MP2K6_HUMAN_D0                         2            3VN9_A             Histag_Cterm                   6                ESCHERICHIA COLI          215          31.6
     NEK7_HUMAN_D0                         2            2WQN_A             Histag_Cterm                   6                ESCHERICHIA COLI          291          30.0
    BMPR2_HUMAN_D0                         1            3G2F_A             Histag_Cterm                   6                ESCHERICHIA COLI           77          41.2
    CDK16_HUMAN_D0                         1            3MTL_A             Histag_Cterm                   6                ESCHERICHIA COLI          254          30.7
     MELK_HUMAN_D0                         1            4IXP_A             Histag_Cterm                   6                ESCHERICHIA COLI          138          35.8
    MP2K2_HUMAN_D0                         1            1S9I_A             Histag_Cterm                   6      ESCHERICHIA COLI BL21(DE3)           87          39.8
    CSK21_HUMAN_D0                        45            3AXW_A    other_extra_seq_Nterm                   4                ESCHERICHIA COLI           63          43.5
     CHK2_HUMAN_D0                        36            2CN5_A    other_extra_seq_Nterm                   4                ESCHERICHIA COLI           24          55.2
    KAPCA_HUMAN_D0                        15            4AE9_A    other_extra_seq_Nterm                   4                ESCHERICHIA COLI           62          43.6
      CSK_HUMAN_D0                         3            3D7T_A    other_extra_seq_Nterm                   4                ESCHERICHIA COLI          146          35.0
     MK11_HUMAN_D0                         3            3GC8_A    other_extra_seq_Nterm                   4                ESCHERICHIA COLI          160          33.9
    CSK22_HUMAN_D0                         2            3E3B_X    other_extra_seq_Nterm                   4                ESCHERICHIA COLI          150          34.7
    MARK3_HUMAN_D0                         2            2QNJ_A    other_extra_seq_Nterm                   4      ESCHERICHIA COLI BL21(DE3)          365          25.5
    MARK2_HUMAN_D0                         1            3IEC_D    other_extra_seq_Nterm                   4                ESCHERICHIA COLI          238          31.0
     MK03_HUMAN_D0                         1            2ZOQ_B    other_extra_seq_Nterm                   4                ESCHERICHIA COLI           49          46.0
     VRK1_HUMAN_D0                         1            3OP5_D    other_extra_seq_Nterm                   4                ESCHERICHIA COLI          384          15.4
     MK10_HUMAN_D0                        36            2B1P_A                     None                   0                ESCHERICHIA COLI           42          48.0
     CHK1_HUMAN_D0                         9            2E9V_A                     None                   0                ESCHERICHIA COLI           40          48.6
    DAPK2_HUMAN_D0                         6            1WMK_C                     None                   0                ESCHERICHIA COLI          295          29.9
      FES_HUMAN_D0                         4            3CBL_A                     None                   0                ESCHERICHIA COLI          116          36.7
    KCC1A_HUMAN_D0                         4            4FG7_A                     None                   0                ESCHERICHIA COLI          253          30.7
    STK10_HUMAN_D0                         4            4BC6_A                     None                   0                ESCHERICHIA COLI          125          36.3
      ILK_HUMAN_D0                         3            3KMW_A                     None                   0                ESCHERICHIA COLI          389          14.2
     KSYK_HUMAN_D0                         3            4F4P_A                     None                   0                ESCHERICHIA COLI           70          42.6
     TIE2_HUMAN_D0                         3            3L8P_A                     None                   0                ESCHERICHIA COLI           36          50.4
     M3K5_HUMAN_D0                         2            3VW6_A                     None                   0                ESCHERICHIA COLI          151          34.6
     CLK1_HUMAN_D0                         2            2VAG_A                     None                   0                ESCHERICHIA COLI          170          33.5
     FAK2_HUMAN_D0                         2            3ET7_A                     None                   0                ESCHERICHIA COLI           75          41.8
    IGF1R_HUMAN_D0                         2            3O23_A                     None                   0                ESCHERICHIA COLI           18          57.1
    KCC2D_HUMAN_D0                         2            2VN9_A                     None                   0                ESCHERICHIA COLI          174          33.5
    KS6A5_HUMAN_D0                         2            3KN6_A                     None                   0                ESCHERICHIA COLI          126          36.3
    KS6A5_HUMAN_D1                         2            3KN6_A                     None                   0                ESCHERICHIA COLI          127          36.3
     MK09_HUMAN_D0                         2            3NPC_B                     None                   0                ESCHERICHIA COLI           79          41.2
    OXSR1_HUMAN_D0                         2            3DAK_B                     None                   0                ESCHERICHIA COLI          344          27.7
    AURKB_HUMAN_D0                         1            4AF3_A                     None                   0                ESCHERICHIA COLI           38          50.0
      BTK_HUMAN_D0                         1            1K2P_A                     None                   0                ESCHERICHIA COLI           55          45.4
     CLK2_HUMAN_D0                         1            3NR9_C                     None                   0                ESCHERICHIA COLI          194          32.2
     DMPK_HUMAN_D0                         1            2VD5_B                     None                   0                ESCHERICHIA COLI          109          37.2
======================================================================================================================================================================
      HCK_HUMAN_D0                         1            2HK5_A                     None                   0                ESCHERICHIA COLI           56          45.3
     INSR_HUMAN_D0                         1            2AUH_A                     None                   0                ESCHERICHIA COLI           15          60.9
     JAK3_HUMAN_D0                         1            1YVJ_A                     None                   0                ESCHERICHIA COLI           47          46.8
    KC1G2_HUMAN_D0                         1            2C47_A                     None                   0                ESCHERICHIA COLI          235          31.1
    KCC1G_HUMAN_D0                         1            2JAM_A                     None                   0                ESCHERICHIA COLI          309          29.6
    KCC1D_HUMAN_D0                         1            2JC6_A                     None                   0                ESCHERICHIA COLI          250          30.8
    KCC2B_HUMAN_D0                         1            3BHH_D                     None                   0                ESCHERICHIA COLI          244          30.9
     MK06_HUMAN_D0                         1            2I6L_B                     None                   0                ESCHERICHIA COLI          287          30.0
     MK12_HUMAN_D0                         1            1CM8_A                     None                   0                ESCHERICHIA COLI          111          36.9
    PDPK1_HUMAN_D0                         1            2R7B_A                     None                   0                ESCHERICHIA COLI           96          38.5
     PIM2_HUMAN_D0                         1            2IWI_A                     None                   0                ESCHERICHIA COLI          105          37.4
     PLK1_HUMAN_D0                         1            3THB_A                     None                   0                ESCHERICHIA COLI           29          52.2
     PLK4_HUMAN_D0                         1            3COK_B                     None                   0      ESCHERICHIA COLI BL21(DE3)          201          32.0
    STK25_HUMAN_D0                         1            2XIK_A                     None                   0                ESCHERICHIA COLI          297          29.9
     STK4_HUMAN_D0                         1            3COM_A                     None                   0      ESCHERICHIA COLI BL21(DE3)          112          36.9
    TGFR1_HUMAN_D0                         1            1B6C_F                     None                   0                ESCHERICHIA COLI           19          56.4
    VGFR1_HUMAN_D0                         1            3HNG_A                     None                   0                ESCHERICHIA COLI           20          56.4

Total targets with plasmid and > 0 matching PDB structures: 113
Total targets with plasmid and > 1 matching PDB structures: 70
Total targets with plasmid and > 0 matching PDB structures and a detected expr_tag: 74
Total targets with plasmid and > 1 matching PDB structures and a detected expr_tag: 52
