= Targets sorted by number of PDB structures with matching expression system tag =

            target  nmatching_PDB_structures  top_PDB_chain_ID
     MK11_HUMAN_D0                         3            3GC8_A
    MKNK2_HUMAN_D0                         3            2AC3_A
    MP2K4_HUMAN_D0                         3            3VUT_B
     TIE2_HUMAN_D0                         3            3L8P_A
     EGFR_HUMAN_D0                         2            2RF9_A
     KC1D_HUMAN_D0                         2            4HNF_B
     M3K5_HUMAN_D0                         2            3VW6_A
     CLK1_HUMAN_D0                         2            2VAG_A
    CSK22_HUMAN_D0                         2            3E3B_X
     FAK2_HUMAN_D0                         2            3ET7_A
    IGF1R_HUMAN_D0                         2            3O23_A
     INSR_HUMAN_D0                         2            1RQQ_A
     KC1E_HUMAN_D0                         2            4HNI_A
    KCC2A_HUMAN_D0                         2            2VZ6_B
    KCC2D_HUMAN_D0                         2            2VN9_A
    KS6A5_HUMAN_D0                         2            3KN6_A
    KS6A5_HUMAN_D1                         2            3KN6_A
    MARK3_HUMAN_D0                         2            2QNJ_A
     MK07_HUMAN_D0                         2            4IC7_D
     MK09_HUMAN_D0                         2            3NPC_B
    MP2K6_HUMAN_D0                         2            3VN9_A
     NEK7_HUMAN_D0                         2            2WQN_A
    OXSR1_HUMAN_D0                         2            3DAK_B
     PLK1_HUMAN_D0                         2            2V5Q_A
    ST17B_HUMAN_D0                         2            3LM0_A
    AAPK2_HUMAN_D0                         1            2H6D_A
    AURKB_HUMAN_D0                         1            4AF3_A
     CDK9_HUMAN_D0                         1            4IMY_A
     KCC4_HUMAN_D0                         1            2W4O_A
    ACVR1_HUMAN_D0                         1            3H9R_A
    BMPR2_HUMAN_D0                         1            3G2F_A
    BMR1B_HUMAN_D0                         1            3MDY_C
      BTK_HUMAN_D0                         1            1K2P_A
     CDC7_HUMAN_D0                         1            4F99_A
    CDK16_HUMAN_D0                         1            3MTL_A
    CDKL1_HUMAN_D0                         1            4AGU_B
     CLK2_HUMAN_D0                         1            3NR9_C
     DMPK_HUMAN_D0                         1            2VD5_B
     FAK1_HUMAN_D0                         1            2IJM_B
      HCK_HUMAN_D0                         1            2HK5_A
     JAK3_HUMAN_D0                         1            1YVJ_A
    KC1G2_HUMAN_D0                         1            2C47_A
    KCC1D_HUMAN_D0                         1            2JC6_A
    KCC1G_HUMAN_D0                         1            2JAM_A
    KCC2B_HUMAN_D0                         1            3BHH_D
    KCC2G_HUMAN_D0                         1            2V7O_A
    KS6A1_HUMAN_D0                         1            3RNY_B
    KS6A1_HUMAN_D1                         1            3RNY_B
    MARK2_HUMAN_D0                         1            3IEC_D
     MK03_HUMAN_D0                         1            2ZOQ_B
     MK06_HUMAN_D0                         1            2I6L_B
     MK12_HUMAN_D0                         1            1CM8_A
    MKNK1_HUMAN_D0                         1            2HW6_B
    MP2K2_HUMAN_D0                         1            1S9I_A
     PAK6_HUMAN_D0                         1            2C30_A
     PAK7_HUMAN_D0                         1            2F57_B
    PDPK1_HUMAN_D0                         1            2R7B_A
    PHKG2_HUMAN_D0                         1            2Y7J_D
     PIM2_HUMAN_D0                         1            2IWI_A
     PLK4_HUMAN_D0                         1            3COK_B
    PMYT1_HUMAN_D0                         1            3P1A_A
    SRPK1_HUMAN_D0                         1            1WAK_A
    SRPK2_HUMAN_D0                         1            2X7G_A
    STK16_HUMAN_D0                         1            2BUJ_B
    STK25_HUMAN_D0                         1            2XIK_A
     STK4_HUMAN_D0                         1            3COM_A
    STRAA_HUMAN_D0                         1            3GNI_B
    TGFR1_HUMAN_D0                         1            1B6C_F
    VGFR1_HUMAN_D0                         1            3HNG_A
     VRK2_HUMAN_D0                         1            2V62_B
     VRK1_HUMAN_D0                         1            3OP5_D
     VRK3_HUMAN_D0                         1            2JII_A

Total targets with > 0 matching PDB structures: 139
Total targets with > 1 matching PDB structures: 81
